"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C71","0603","707.333mil","2598.3mil","707.333mil","2568.3mil","707.333mil","2568.3mil","T","90.00",".1uF"
"C70","0603","897.333mil","1708.3mil","897.333mil","1738.3mil","897.333mil","1738.3mil","T","270.00",".1uF"
"C69","0603","897.333mil","2598.3mil","897.333mil","2568.3mil","897.333mil","2568.3mil","T","90.00",".1uF"
"C68","0603","712.333mil","1708.3mil","712.333mil","1738.3mil","712.333mil","1738.3mil","T","270.00",".1uF"
"C67","0603","392.333mil","2198.3mil","392.333mil","2228.3mil","392.333mil","2228.3mil","T","270.00",".1uF"
"C66","0603","957.333mil","2598.3mil","957.333mil","2568.3mil","957.333mil","2568.3mil","T","90.00",".1uF"
"C65","0603","647.333mil","2598.3mil","647.333mil","2568.3mil","647.333mil","2568.3mil","T","90.00",".1uF"
"C64","0603","1242.333mil","2023.3mil","1212.333mil","2023.3mil","1212.333mil","2023.3mil","T","360.00",".1uF"
"C63","0603","392.333mil","2038.3mil","392.333mil","2068.3mil","392.333mil","2068.3mil","T","270.00",".1uF"
"C62","0603","652.333mil","1708.3mil","652.333mil","1738.3mil","652.333mil","1738.3mil","T","270.00",".1uF"
"C61","0603","957.333mil","1708.3mil","957.333mil","1738.3mil","957.333mil","1738.3mil","T","270.00",".1uF"
"C17","0603","1615.333mil","407.3mil","1615.333mil","437.3mil","1615.333mil","437.3mil","T","270.00",".1uF"
"C16","0603","1735.333mil","692.3mil","1735.333mil","662.3mil","1735.333mil","662.3mil","T","90.00",".1uF"
"C15","0603","2284.833mil","277.3mil","2284.833mil","307.3mil","2284.833mil","307.3mil","T","270.00",".1uF"
"C10","0603","3069.833mil","147.3mil","3069.833mil","177.3mil","3069.833mil","177.3mil","T","270.00",".1uF"
"C9","0603","2774.833mil","42.3mil","2774.833mil","12.3mil","2774.833mil","12.3mil","T","90.00",".1uF"
"C7","0603","3312.333mil","1272.3mil","3342.333mil","1272.3mil","3342.333mil","1272.3mil","T","180.00",".1uF"
"C6","0603","3177.333mil","1327.3mil","3147.333mil","1327.3mil","3147.333mil","1327.3mil","T","360.00",".1uF"
"C2","0603","2724.833mil","1122.3mil","2724.833mil","1152.3mil","2724.833mil","1152.3mil","T","270.00",".1uF"
"C1","0603","2724.833mil","927.3mil","2724.833mil","897.3mil","2724.833mil","897.3mil","T","90.00",".1uF"
"U23","QFN32","239mil","416.508mil","239mil","417mil","140.575mil","485.898mil","T","0.00","FT232RQ"
"J20","USB_JACK","514mil","12.512mil","514mil","107mil","563.016mil","105.228mil","T","0.00","USB CONN"
"C76","0805","609mil","242mil","564mil","242mil","564mil","242mil","T","360.00","4.7uF"
"C77","0603","369mil","242mil","339mil","242mil","339mil","242mil","T","360.00","0.1uF"
"R22","0603","64mil","497mil","64mil","527mil","64mil","527mil","T","270.00","150"
"FB24","0603","444mil","387mil","474mil","387mil","474mil","387mil","T","180.00","FB"
"R23","0603","209mil","592mil","239mil","592mil","239mil","592mil","T","180.00","150"

