"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R4","0603","609mil","1923mil","639mil","1923mil","639mil","1923mil","T","180.00","39K"
"R5","0603","879mil","1283mil","909mil","1283mil","909mil","1283mil","T","180.00","39K"
"R8","0603","254mil","1189mil","254mil","1159mil","254mil","1159mil","T","90.00","4.7 K"
"C19","0603","109mil","1179mil","109mil","1149mil","109mil","1149mil","T","90.00","2.7 pF"
"R14","0603","235mil","1839mil","205mil","1839mil","205mil","1839mil","T","0.00","470"
"R7","0603","185mil","1294mil","185mil","1264mil","185mil","1264mil","T","90.00","6.8K"
"R11","0603","110mil","1299mil","110mil","1269mil","110mil","1269mil","T","90.00","68"
"R16","0603","430mil","1409mil","460mil","1409mil","460mil","1409mil","T","180.00","22K"
"Y1","RESONATOR","396.071mil","1251.468mil","395mil","1248mil","444mil","1333mil","T","0.00","916.5_Resonator"
"R19","0603","834mil","1443mil","804mil","1443mil","804mil","1443mil","T","360.00","2K"
"R24","0603","834mil","1373mil","804mil","1373mil","804mil","1373mil","T","360.00","100K"
"C22","0603","18mil","1363mil","-12mil","1363mil","-12mil","1363mil","T","0.00","DNS"
"C23","0603","18mil","1413mil","-12mil","1413mil","-12mil","1413mil","T","0.00","DNS"
"U3","SO8_SMALL","796.614mil","1118.575mil","835mil","1212mil","835mil","1212mil","T","180.00","DS1631"
"U6","SC70","950mil","1419mil","950mil","1419mil","975.591mil","1462.307mil","T","180.00","MAX9119EXK+"
"U2","SC70","723mil","1419mil","723mil","1419mil","748.591mil","1462.307mil","T","180.00","MIC861"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","184.685mil","1063.409mil","165mil","1089mil","165mil","1089mil","T","270.00","NE85619"
"Q2","3_PIN_ULTRA_SUPER_MINI_MOLD","180.685mil","1557.409mil","161mil","1583mil","161mil","1583mil","T","270.00","NE85619"
"U1","SSOP20_WIDE","596.842mil","1690.457mil","712mil","1844mil","712mil","1844mil","T","180.00","PIC16F690"
"U5","SOT23-5A","372.5mil","1799mil","335mil","1749mil","335mil","1749mil","T","90.00","TC1070"
"R26","0603","939mil","1533mil","969mil","1533mil","969mil","1533mil","T","180.00","4.7M"
"L1","0603","60mil","1059mil","60mil","1089mil","60mil","1089mil","T","270.00","2.7nH"
"E2","Antenna1","0mil","1059mil","0mil","1059mil","0mil","1059mil","T","0.00","#NAME?"
"E3","Antenna1","22mil","1833mil","22mil","1833mil","22mil","1833mil","T","0.00","#NAME?"
"EH2","EH_D0500P1000","449mil","1923mil","449mil","1923mil","449mil","1923mil","T","90.00","#NAME?"
"EH1","EH_D0500P1000","509mil","1923mil","509mil","1923mil","509mil","1923mil","T","0.00","#NAME?"
"B1","BATT_HOLDER1","484.157mil","1428mil","494mil","1428mil","60.929mil","1428mil","B","270.00","BATT HOLDER COIN CR2032 CUT"
